№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,выявление автоматических мыслей,Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,когнитивная реструктуризация,Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,поведенческая активация,Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,составление дневника мыслей,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,децентрализация (дефузия),Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,экспозиционная терапия,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,создание иерархии страхов,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,убеждение через эксперименты,Нет,институты,принцип баланса,явные/латентные,аналогичный
9,переоценка катастрофизации,Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,тренировка навыков решения проблем,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,самонаблюдение,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,клинический самоанализ,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,переоценка вероятностей,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,мышечная релаксация,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,формирование альтернативных убеждений,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,планирование приятных мероприятий,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,обучение навыкам социальных взаимодействий,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,мониторинг эмоций,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,развитие копинг-навыков,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,внедрение мыслительных стоп-команд,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,поведенственные эксперименты,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,дисфункциональные мысли (выявление и замена),Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,самопоощрение,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,оценка доказательств,Условно,поведение,принцип баланса,явные/латентные,аналогичный
25,сокращение избегания,Да,нормы,принцип осознания,необходимые/возможные,аналогичный
26,декомпозиция целей,Нет,институты,принцип интеграции,мгновенные/постепенные,аналогичный
27,систематическая десенсибилизация,Условно,дискурс,принцип обратной связи,дискретные/континуальные,аналогичный
28,осознание когнитивных искажений,Да,символы,принцип системности,индивидуальные/коллективные,уникальный
29,планирование обязательств,Нет,значения,принцип адаптивности,эндогенные/экзогенные,аналогичный
30,рефрейминг,Условно,пространство,принцип сотрудничества,институциональные/неформальные,аналогичный
31,рейтинговая шкала дискомфорта,Да,время/ритм,принцип устойчивости,цикличные/каскадные,аналогичный
32,формирование реалистичных ожиданий,Нет,технология/инфраструктура,принцип баланса,явные/латентные,аналогичный
33,тренировка внимания,Условно,тело/материя,принцип осознания,необходимые/возможные,аналогичный
34,осуществление ролевых игр,Да,экономика/обмен,принцип интеграции,мгновенные/постепенные,аналогичный
35,постепенное введение стрессоров,Нет,идентичность/границы,принцип обратной связи,дискретные/континуальные,уникальный
36,самомониторинг поведения и последствий,Условно,память/наследие,принцип системности,индивидуальные/коллективные,аналогичный
