№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание точки контакта,Да,отношения,Общий центр взаимодействия,"мгновенные, коллективные",Уникально для контакта
2,Передача веса,Да,функция,Баланс общего центра масс,"непрерывные, коллективные",Уникально для контакта
3,Перекатывание по партнёру,Да,поведение,Кинетическое исследование поверхности,"непрерывные, коллективные",Аналоги: соматика
4,Подъём с минимальным усилием,Да,функция,Использование механики рычага,"дискретные, коллективные",Уникально для контакта
5,Падение и восстановление,Да,функция,Доверие гравитации,"дискретные, коллективные",Аналоги: современный танец
6,Контрбалансировка,Да,функция,Равновесие противоположных сил,"непрерывные, коллективные",Уникально для контакта
7,Мгновенное реагирование,Да,поведение,Следование за импульсом партнёра,"мгновенные, коллективные",Аналоги: импровизация
8,Перемещение центра,Да,структура,Регулировка центра тяжести,"постепенные, индивидуальные",Аналоги: соматика
9,Лёгкость при подъёме,Да,состояние,Управление напряжением тела,"непрерывные, индивидуальные",Аналоги: современный танец
10,Внимательное слушание,Да,поведение,Кинестетическая эмпатия,"непрерывные, коллективные",Аналоги: терапия
11,Следование импульсу,Да,поведение,Эвристика импровизации,"мгновенные, коллективные",Аналоги: импровизация
12,Сочетание тишины и звука,Да,время/ритм,Пульсация внимания,"цикличные, коллективные",Аналоги: буто
13,Чередование контакта и дистанции,Да,отношения,Динамика близости,"цикличные, коллективные",Уникально для контакта
14,Исследование уровней,Да,пространство,Переходы от пола к вертикали,"непрерывные, коллективные",Аналоги: современный танец
15,Случайная встреча (jam),Да,институты,Неформальная практика,"неформальные, коллективные",Уникально для контакта
