№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика семейной динамики через движение,Да,отношения,системный анализ,необходимые; дискретные; коллективные; явные,
2,Воссоздание родовых ролей в танце,Да,идентичность/границы,семейная скульптура,возможные; дискретные; коллективные; явные,
3,Работа с границами между поколениями,Да,идентичность/границы,трансгенерационный подход,возможные; постепенные; коллективные; явные,
4,Совместное создание семейной хореографии,Да,поведение,совместное творчество,возможные; дискретные; коллективные; явные,
5,Исследование коммуникации через партнерские упражнения,Да,отношения,коммуникация,возможные; дискретные; коллективные; явные,
6,Анализ семейной истории через танец,Да,память/наследие,нарратив,возможные; дискретные; коллективные; явные,
7,Работа с конфликтами в безопасной форме,Да,отношения,медиация,возможные; дискретные; коллективные; явные,
8,Использование ритуалов для укрепления семейной связи,Да,ритуалы,символизм,возможные; дискретные; коллективные; явные,
9,Перераспределение власти и ответственности,Условно,нормы,справедливость,возможные; постепенные; коллективные; явные,
10,Создание пространства для детского выражения,Да,идентичность/границы,развитие,необходимые; дискретные; коллективные; явные,
11,Улучшение сопереживания между членами,Да,отношения,эмпатия,возможные; континуальные; коллективные; явные,
12,Понимание семейного сценария через движения,Да,нормы,сценарный анализ,возможные; дискретные; коллективные; явные,
13,Структурирование семейной сессии,Да,структура,планирование,необходимые; дискретные; коллективные; явные,
14,Разработка домашних заданий для семьи,Да,функция,интеграция,возможные; дискретные; коллективные; явные,
15,Завершение процесса через совместный ритуал,Да,ритуалы,завершение,необходимые; дискретные; коллективные; явные,
