№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формулирование намерения,Условно,тело/материя,принцип непостоянства,"постепенные, явные",Уникальный
2,Повторение фраз «пусть я буду счастлив»,Да,отношения,принцип непостоянства,"цикличные, индивидуальные",Уникальный
3,Возбуждение чувства доброты к себе,Нет,идентичность/границы,принцип непостоянства,"латентные, каскадные",Аналоги существуют
4,Направление добрых пожеланий любимым,Нет,отношения,принцип нейрофидбек,"неформальные, явные",Уникальный
5,Распространение доброты на нейтрального человека,Нет,состояние,принцип самонаблюдения,"постепенные, каскадные",Уникальный
6,Включение трудного человека,Условно,функция,принцип осознанности,"коллективные, институциональные",Аналоги существуют
7,Расширение доброты ко всем существам,Условно,состояние,принцип пустоты,"постепенные, необходимые",Уникальный
8,Наблюдение ощущений в сердце,Условно,тело/материя,принцип непостоянства,"постепенные, институциональные",Уникальный
9,Визуализация образов,Нет,отношения,принцип нравственности,"явные, постепенные",Аналоги существуют
10,Развитие сострадания,Да,поведение,принцип равновесия,"возможные, цикличные",Уникальный
11,Повторение метта-фраз,Условно,функция,принцип самонаблюдения,"дискретные, каскадные",Уникальный
12,Практика принятия,Да,тело/материя,принцип непостоянства,"неформальные, явные",Уникальный
13,Сидение в удобной позе,Нет,функция,принцип сосредоточенности,"мгновенные, дискретные",Аналоги существуют
14,Сосредоточение на чувствах теплоты,Да,пространство,принцип осознанности,"неформальные, цикличные",Аналоги существуют
15,Наблюдение сопротивления и напряжения,Условно,время/ритм,принцип самонаблюдения,"мгновенные, явные",Аналоги существуют
16,Использование мысленных изображений,Да,структура,принцип нравственности,"необходимые, дискретные",Аналоги существуют
17,Завершение практики благодарностью,Условно,тело/материя,принцип самонаблюдения,"необходимые, экзогенные",Уникальный
18,Осознанное дыхание,Нет,идентичность/границы,принцип непостоянства,"цикличные, необходимые",Аналоги существуют
19,Приглашение чувств дружелюбия,Да,функция,принцип сострадания,"явные, латентные",Аналоги существуют
20,Мягкое возвращение к фразам,Нет,символы,принцип пустоты,"возможные, явные",Уникальный
21,Поддержка позитивных эмоций,Нет,отношения,принцип равновесия,"индивидуальные, возможные",Уникальный
22,Включение самого себя,Условно,структура,принцип равновесия,"индивидуальные, неформальные",Аналоги существуют
23,Регулярная практика,Нет,память/наследие,принцип присутствия,"постепенные, экзогенные",Аналоги существуют
24,Уважение границ,Нет,структура,принцип осознанности,"возможные, континуальные",Уникальный
25,Наблюдение за чувствами радости,Условно,отношения,принцип присутствия,"экзогенные, неформальные",Уникальный
26,Осознание взаимосвязи всех существ,Да,время/ритм,принцип осознанности,"институциональные, неформальные",Уникальный
27,Прощение себя и других,Нет,память/наследие,принцип сосредоточенности,"дискретные, континуальные",Уникальный
28,Развитие терпения,Условно,пространство,принцип пустоты,"латентные, необходимые",Аналоги существуют
29,Использование тихого голосового повторения,Нет,структура,принцип сострадания,"континуальные, необходимые",Аналоги существуют
30,Укрепление чувства сопричастности,Да,содержание,принцип самонаблюдения,"индивидуальные, институциональные",Аналоги существуют
