№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Планировка пространства,Да,Структура,Упорядоченность,Активные,Аналоги: архитектура
2,Зонирование,Да,Структура,Дифференциация,Активные,Аналоги: урбанистика
3,Выбор цветовой гаммы,Да,Содержание,Гармония,Активные,Аналоги: искусствоведение
4,Выбор материалов,Да,Содержание,Устойчивость,Активные,Аналоги: материаловедение
5,Освещение,Да,Содержание,Экспрессия,Активные,Аналоги: физика света
6,Акустический дизайн,Да,Содержание,Баланс,Активные,Аналоги: акустика
7,Эргономика интерьера,Да,Структура,Гармония,Активные,Аналоги: биомеханика
8,Меблировка,Да,Структура,Функциональность,Активные,Аналоги: промышленный дизайн
9,Текстильное оформление,Да,Содержание,Экспрессия,Активные,Аналоги: мода
10,Декорирование,Да,Содержание,Экспрессия,Активные,Аналоги: искусство
11,Интеграция искусства,Да,Содержание,Экспрессия,Активные,Аналоги: искусствоведение
12,Использование растений,Да,Содержание,Экологичность,Активные,Аналоги: ландшафтный дизайн
13,Интеграция технологий (умный дом),Да,Структура,Инновация,Активные,Аналоги: ИТ
14,Инклюзивный интерьер,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
15,Эко-дизайн интерьера,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
16,Стилизация под исторические эпохи,Да,Содержание,Историческая динамика,Активные,Аналоги: история искусства
17,Футуристический интерьер,Да,Содержание,Адаптация,Активные,Аналоги: футурология
18,Минимализм в интерьере,Да,Содержание,Экономия,Активные,Аналоги: философия
19,Максимализм в интерьере,Да,Содержание,Экспрессия,Активные,Аналоги: культура
20,Кастомизация интерьера,Да,Содержание,Адаптация,Активные,Аналоги: маркетинг
21,Адаптация под культурный контекст,Да,Содержание,Адаптация,Активные,Аналоги: антропология
22,Трансформация мебели (модульность),Да,Структура,Интеграция,Активные,Аналоги: промышленный дизайн
23,Оптимизация пространства (малые квартиры),Да,Структура,Экономия,Активные,Аналоги: урбанистика
24,Символизация интерьера,Да,Содержание,Экспрессия,Активные,Аналоги: семиотика
25,Интерьер как средство идентичности,Да,Содержание,Социальная динамика,Активные,Аналоги: культурология
26,Сезонная трансформация интерьера,Да,Содержание,Историческая динамика,Постепенные,Аналоги: социология быта
27,Интерьер в рекламе и кино,Да,Содержание,Экспрессия,Активные,Аналоги: медиа
28,Реконструкция исторических интерьеров,Да,Содержание,Историческая динамика,Активные,Аналоги: археология
29,Использование VR/AR в проектировании интерьера,Да,Структура,Инновация,Активные,Аналоги: ИТ
