№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Картирование процессов,Да,функция,Блок-схема процессов,дискретные/континуальные,Аналогично описанию процессов в проектном управлении
2,Планирование мощностей,Условно,технология/инфраструктура,Теория массового обслуживания,индивидуальные/коллективные,Связано с управлением проектами
3,Прогнозирование спроса,Да,содержание,Временные ряды,цикличные,Аналогично маркетинговым исследованиям
4,Составление графиков производства,Да,время/ритм,Календарно-плановый подход,дискретные,Аналогично планированию проектов
5,Контроль качества,Да,состояние,Статистический контроль качества,цикличные,Связано с управлением рисками
6,Внедрение lean-методов,Условно,поведение,Бережливое производство,постепенные,Аналогично непрерывному улучшению
7,Управление запасами,Да,экономика/обмен,EOQ-модель,индивидуальные/коллективные,Аналогично логистике и цепочкам поставок
8,Координация цепочки поставок,Условно,отношения,Интегрированная логистика,коллективные,Аналогично стратегическому партнёрству
9,Оптимизация ресурсов,Да,экономика/обмен,Теория ограничений,мгновенные/постепенные,Аналогично распределению ресурсов в стратегии
10,Непрерывное улучшение (Kaizen),Нет,поведение,Kaizen,постепенные,Связано с культурой улучшений
11,Автоматизация рабочих процессов,Условно,технология/инфраструктура,Роботизация процессов (RPA),постепенные,Перекликается с цифровой трансформацией
12,Планирование конфигурации объектов,Условно,пространство,Теория планировки производства,индивидуальные/коллективные,Связано с эргономикой
13,Планирование обслуживания оборудования,Да,технология/инфраструктура,TPM (тотальное обслуживание),цикличные,Связано с управлением рисками
14,Отслеживание производственных метрик,Да,состояние,"KPI, OEE",дискретные/континуальные,Аналогично сбалансированной системе показателей
15,Выявление узких мест,Да,структура,Бottleneck-анализ,необходимые/возможные,Связано с теорией ограничений
