№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Аргументационное поле (argument field),Условно,"структура; нормы; дискурс","контекстуализация правил аргумента в пределах сообщества","возможные; постепенно; коллективные; институциональные","социология знания"
2,Аудитория универсальная,Условно,"нормы; идентичность; дискурс","ориентация на воображаемую «всеобщую аудиторию» для проверки аргумента","возможные; постепенно; коллективные; латентные","этика; философия"
3,Аудитория конкретная,Условно,"идентичность; дискурс; отношения","адаптация доводов к специфике целевой группы","возможные; мгновенные; коллективные; явные","маркетинг; PR"
4,Принцип согласия (concordia),Условно,"отношения; нормы; дискурс","укрепление аргумента через точки консенсуса","возможные; постепенно; коллективные; явные","медиация"
5,Аргументы ценности,Условно,"нормы; значения; дискурс","опора на признанные ценности и идеалы","возможные; постепенно; коллективные; явные","этика; политика"
6,Аргументы иерархии ценностей,Условно,"нормы; значения; дискурс","сопоставление ценностей по силе","возможные; постепенно; коллективные; явные","этика; религия"
7,Аргументы количества,Да,"значения; дискурс","опора на массовость, численность, статистику","возможные; мгновенные; коллективные; явные","статистика; соцдоказательство"
8,Аргументы качества,Условно,"нормы; значения; дискурс","выделение уникального, исключительного","возможные; мгновенные; индивидуальные; явные","маркетинг; юриспруденция"
9,Аргумент направления (progression),Да,"значения; дискурс","усиление позиции через тенденцию роста/спада","возможные; постепенно; дискретные; коллективные","экономика; прогнозирование"
10,Аргумент прецедента (precedent),Да,"память/наследие; нормы; дискурс","обоснование через прошлые решения","возможные; постепенно; коллективные; институциональные","право; политика"
11,Аргумент инерции (status quo),Условно,"нормы; институты; дискурс","сохранение существующего порядка","возможные; постепенно; коллективные; институциональные","политика; право"
12,Аргумент инновации,Условно,"нормы; значения; дискурс","поддержка через новизну","возможные; мгновенные; коллективные; явные","маркетинг; стартапы"
13,Аргумент симметрии,Да,"структура; значения; дискурс","обоснование через зеркальность отношений","возможные; мгновенные; индивидуальные","математика; философия"
14,Аргумент аналогии (когнитивной),Да,"значения; дискурс","перенос когнитивных схем","возможные; постепенно; индивидуальные","когнитивная психология"
15,Аргумент примата (приоритет),Условно,"нормы; институты; дискурс","обоснование через «первенство»","возможные; постепенно; коллективные","право; история"
16,Аргумент конечной цели,Условно,"нормы; значения; дискурс","связь действий с высшей целью","возможные; постепенно; коллективные","этика; религия"
17,Аргумент средств,Да,"значения; дискурс","выбор действий через оптимальность средств","возможные; постепенно; индивидуальные","прикладная логика"
18,Аргумент побочного эффекта,Условно,"состояние; дискурс","учёт непреднамеренных последствий","возможные; постепенно; коллективные","этика ответственности"
19,Аргумент риска,Условно,"нормы; значения; дискурс","обоснование через уровень опасности","возможные; мгновенные; коллективные","управление рисками"
20,Аргумент возможности,Да,"значения; дискурс","вывод на основе возможности","возможные; мгновенные; индивидуальные","модальная логика"
21,Аргумент необходимости,Да,"значения; дискурс","обоснование через неизбежность","возможные; мгновенные; индивидуальные","модальная логика"
22,Аргумент вероятности,Условно,"значения; дискурс","связь с правдоподобным исходом","возможные; постепенно; коллективные","судебная риторика"
23,Аргумент из отсутствия,Да,"значения; дискурс","«если бы было, оно бы проявилось»","возможные; мгновенные; индивидуальные","логика; юриспруденция"
24,Аргумент из наличия,Да,"значения; дискурс","наличие факта = доказательство","возможные; мгновенные; индивидуальные","логика; юриспруденция"
25,Аргумент от абсурда,Да,"структура; дискурс","демонстрация нелепости альтернативы","возможные; мгновенные; индивидуальные","логика"
26,Аргумент слияния,Да,"структура; дискурс","объединение разных аргументов в синтез","возможные; постепенно; коллективные","медиация"
27,Аргумент противопоставления,Да,"структура; дискурс","сведение аргументов к бинарным оппозициям","возможные; мгновенные; индивидуальные","поэтика; философия"
28,Аргумент фреймирования,Условно,"значения; дискурс","смысл зависит от рамки","возможные; мгновенные; коллективные; латентные","когнитивная лингвистика"
29,Аргумент метафоризации,Да,"значения; дискурс; символы","перенос понятий в новую сферу","возможные; постепенно; индивидуальные","когнитивная наука"
30,Аргумент нарратива,Условно,"содержание; дискурс","доказательство через историю","возможные; постепенно; коллективные","литература; психология"
31,Аргумент авторитета научного,Условно,"нормы; институты; дискурс","апелляция к признанным экспертам","возможные; постепенно; коллективные","наука"
32,Аргумент экспертизы локальной,Условно,"нормы; дискурс","опора на компетенцию практиков","возможные; постепенно; коллективные","прикладные науки"
33,Аргумент консенсуса,Условно,"нормы; отношения; дискурс","согласие группы как обоснование","возможные; постепенно; коллективные","соц. доказательство"
34,Аргумент конфликта,Условно,"отношения; дискурс","выявление противоречий для усиления позиции","возможные; мгновенные; коллективные","политика"
35,Аргумент компромисса,Условно,"отношения; дискурс","поиск средней позиции","возможные; постепенно; коллективные","переговоры"
36,Аргумент соразмерности,Да,"структура; дискурс","сравнение пропорций","возможные; мгновенные; индивидуальные","математика"
37,Аргумент справедливости,Условно,"нормы; значения; дискурс","связь с понятием справедливого","возможные; постепенно; коллективные","этика"
38,Аргумент права,Условно,"нормы; институты; дискурс","связь с правовыми нормами","возможные; мгновенные; коллективные; институциональные","юриспруденция"
39,Аргумент морали,Условно,"нормы; значения; дискурс","опора на моральные основания","возможные; постепенно; коллективные","этика"
40,Аргумент традиции,Условно,"память/наследие; нормы; дискурс","сохранение как ценность","возможные; постепенно; коллективные","культура"
41,Аргумент прогресса,Условно,"нормы; значения; дискурс","новое лучше старого","возможные; постепенно; коллективные","идеология модерна"
42,Аргумент регресса,Условно,"нормы; значения; дискурс","возврат к прошлому как благо","возможные; постепенно; коллективные","консерватизм"
43,Аргумент прорыва,Условно,"нормы; значения; дискурс","резкий скачок как благо","возможные; мгновенные; коллективные","инновации"
44,Аргумент устойчивости,Условно,"нормы; институты; дискурс","надёжность лучше изменчивости","возможные; постепенно; коллективные","экономика"
45,Аргумент изменчивости,Условно,"нормы; значения; дискурс","гибкость лучше стабильности","возможные; постепенно; коллективные","менеджмент"
46,Аргумент культурного различия,Условно,"идентичность; дискурс","другие нормы = иные доводы","возможные; постепенно; коллективные","межкультурная коммуникация"
47,Аргумент междисциплинарный,Да,"структура; дискурс","комбинация логик разных областей","возможные; постепенно; коллективные","наука"
48,Аргумент прагматический,Да,"значения; дискурс","что работает — то и верно","возможные; мгновенные; индивидуальные","прагматизм"
49,Аргумент когнитивный,Да,"значения; дискурс","что согласуется с когнитивными схемами","возможные; постепенно; индивидуальные","когнитивная психология"
50,Аргумент коммуникационный,Да,"отношения; дискурс","обоснование через ясность коммуникации","возможные; мгновенные; коллективные","прагматика"
51,Аргумент ситуационный,Да,"содержание; дискурс","действие оправдано обстоятельствами","возможные; мгновенные; коллективные","case-based reasoning"
52,Аргумент потенциальности,Да,"значения; дискурс","что может стать — уже довод","возможные; мгновенные; индивидуальные","модальная логика"
53,Аргумент реальности,Да,"значения; дискурс","то, что есть, сильнее возможности","возможные; мгновенные; индивидуальные","онтология"
54,Аргумент предпочтения,Да,"нормы; значения; дискурс","выбор на основе вкуса/приоритета","возможные; мгновенные; индивидуальные","decision theory"
55,Аргумент консеквенциальный,Да,"значения; дискурс","суждение по последствиям","возможные; постепенно; коллективные","этика последствий"
56,Аргумент консистентности,Да,"структура; дискурс","доказательство через непротиворечивость","возможные; мгновенные; индивидуальные","логика"
57,Аргумент компрометации,Условно,"идентичность; дискурс","подрыв доверия к источнику","возможные; мгновенные; коллективные","политика; PR"
58,Аргумент поддержки,Да,"отношения; дискурс","ссылка на союзников","возможные; мгновенные; коллективные","политика; социология"
59,Аргумент исключения,Да,"значения; дискурс","исключение вариантов усиливает довод","возможные; мгновенные; индивидуальные","логика"
60,Аргумент включения,Да,"значения; дискурс","включение новых элементов усиливает позицию","возможные; мгновенные; индивидуальные","логика"
61,Аргумент масштаба,Да,"структура; дискурс","большее/меньшее изменяет силу довода","возможные; мгновенные; индивидуальные","математика; социология"
62,Аргумент симуляции,Условно,"значения; дискурс","модель заменяет реальность как основание","возможные; постепенно; коллективные","медиа; философия"
63,Аргумент инверсии,Да,"структура; дискурс","переворачивание довода в его противоположность","возможные; мгновенные; индивидуальные","диалектика"
