№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разрушение линейного нарратива,Нет,структура,принцип деконструкции,индивидуальные,уникален
2,Фрагментация сценического текста,Нет,содержание,принцип расщепления,индивидуальные,аналог в литературе
3,Использование мультимедиа как равноправного элемента,Да,технология/инфраструктура,принцип интеграции,коллективные,уникален
4,Вовлечение зрителя в сценическое действие,Да,отношения,принцип соучастия,коллективные,аналог в перформансе
5,Отказ от персонажной драматургии,Нет,идентичность/границы,принцип деконструкции,индивидуальные,уникален
6,Превращение текста в материал действия,Да,содержание,принцип материализации,индивидуальные,уникален
7,Размывание границы сцены и зала,Да,пространство,принцип интеграции,коллективные,аналог в инсталляции
8,Фокус на телесности актёра,Да,тело/материя,принцип экспозиции,индивидуальные,аналог в танце
9,Использование живого звука и шумов,Да,дискурс,принцип акустики,индивидуальные,аналог в музыке
10,Фрагментация времени действия,Нет,время/ритм,принцип нелинейности,индивидуальные,уникален
11,Размывание авторства текста,Да,институты,принцип коллективности,коллективные,аналог в коллаборативном искусстве
12,Сопряжение театра и документа,Да,память/наследие,принцип архивирования,индивидуальные,аналог в документалистике
13,Использование технологий реального времени,Да,технология/инфраструктура,принцип синхронизации,индивидуальные,аналог в цифровом искусстве
14,Смещение акцента на процесс вместо результата,Да,структура,принцип процессуальности,индивидуальные,аналог в концептуализме
15,Интермедиальность (смешение жанров),Да,структура,принцип гибридности,коллективные,аналог в постмодернизме
16,Расслаивание визуальных образов,Да,символы,принцип множественности,индивидуальные,аналог в коллаже
17,Фокус на зрительском восприятии,Да,состояние,принцип аффективности,индивидуальные,аналог в психологии восприятия
18,Использование случайности и импровизации,Да,поведение,принцип неопределенности,индивидуальные,аналог в перформансе
19,Прерывание действия ради комментария,Да,дискурс,принцип метатекста,индивидуальные,аналог в брехтовском театре
20,Деконструкция классических сюжетов,Нет,содержание,принцип переосмысления,индивидуальные,аналог в постмодернизме
21,Присвоение материалов из других медиа,Да,содержание,принцип апроприации,индивидуальные,аналог в визуальном искусстве
22,Гипертрофия повседневного действия,Да,поведение,принцип банализации,индивидуальные,аналог в дадаизме
23,Использование голоса вне текста,Да,дискурс,принцип акустической автономии,индивидуальные,уникален
24,Разрушение иллюзии театральности,Да,структура,принцип отчуждения,индивидуальные,аналог в эпическом театре
25,Слияние документального и вымышленного,Да,содержание,принцип гибридности,индивидуальные,аналог в доку-театре
26,Телесные практики предела (усталость, боль),Нет,тело/материя,принцип экстремальности,индивидуальные,аналог в перформансе
27,Инсталляционность сценографии,Да,пространство,принцип материальности,индивидуальные,аналог в визуальном искусстве
28,Множественность точек восприятия,Да,отношения,принцип полифонии,коллективные,аналог в литературе
29,Стирание иерархии элементов спектакля,Да,структура,принцип равноправия,индивидуальные,уникален
30,Использование цифровых аватаров,Да,технология/инфраструктура,принцип виртуализации,индивидуальные,аналог в VR
31,Нарушение последовательности сцен,Нет,структура,принцип хаотичности,индивидуальные,уникален
32,Фокус на материальности голоса,Да,содержание,принцип субстанции,индивидуальные,аналог в фонетике
33,Создание эффектов присутствия,Да,состояние,принцип аутентичности,индивидуальные,аналог в иммерсивных практиках
34,Перенос спектакля в не-театральные пространства,Да,пространство,принцип десакрализации,индивидуальные,аналог в site-specific
35,Превращение актёра в перформера,Да,идентичность/границы,принцип слияния,индивидуальные,аналог в перформансе
36,Использование визуальной проекции как персонажа,Да,символы,принцип одушевления,индивидуальные,аналог в медиаискусстве
37,Сопряжение сценического и реального времени,Да,время/ритм,принцип синхронизации,индивидуальные,аналог в документах
38,Расслаивание дискурсов (научный, бытовой, художественный),Да,дискурс,принцип полифонии,индивидуальные,аналог в постструктурализме
39,Введение случайных зрительских действий,Да,поведение,принцип неопределенности,коллективные,аналог в иммерсивности
40,Телесные практики прозрачности (обнажение),Нет,тело/материя,принцип экспозиции,индивидуальные,аналог в body-art
41,Множественность финалов,Да,структура,принцип вариативности,индивидуальные,аналог в гипертексте
42,Использование повседневной речи,Да,дискурс,принцип натурализации,индивидуальные,аналог в вербатим
43,Переход к визуальному языку вместо текста,Да,содержание,принцип замещения,индивидуальные,аналог в визуальных искусствах
44,Фокус на материальных объектах сцены,Да,структура,принцип вещности,индивидуальные,аналог в археологии
45,Разрушение драматического конфликта,Нет,структура,принцип отсутствия центра,индивидуальные,уникален
46,Слияние искусства и жизни,Да,отношения,принцип интеграции,коллективные,аналог в дада
47,Использование повторов как структуры,Да,время/ритм,принцип цикличности,индивидуальные,аналог в музыке
48,Мета-комментарии актёра,Да,дискурс,принцип самоотражения,индивидуальные,аналог в эпическом театре
49,Аффективное заражение зрителей,Нет,состояние,принцип эмпатии,коллективные,аналог в психологии масс
50,Деконструкция жанровых рамок,Да,нормы,принцип трансгрессии,индивидуальные,аналог в постмодернизме
51,Симбиоз актёра и технологии,Да,идентичность/границы,принцип киборгизации,индивидуальные,аналог в медиаискусстве
52,Использование объектов как акторов,Да,структура,принцип анимации,индивидуальные,аналог в object-theatre
53,Прерывание действия медиа-вставками,Да,содержание,принцип монтажности,индивидуальные,аналог в кино
54,Фокус на зрительской интерпретации,Да,состояние,принцип неопределенности,индивидуальные,аналог в рецептивной эстетике
55,Разрушение логики причинно-следственных связей,Нет,структура,принцип хаоса,индивидуальные,уникален
56,Создание эффектов перегрузки восприятия,Нет,состояние,принцип интенсивности,индивидуальные,аналог в психологии
57,Сопряжение театра и перформативных исследований,Да,структура,принцип интердисциплинарности,индивидуальные,уникален
58,Использование повседневных объектов на сцене,Да,тело/материя,принцип банализации,индивидуальные,аналог в ready-made
59,Размывание роли режиссёра,Да,институты,принцип горизонтальности,коллективные,аналог в коллаборативных практиках
60,Фокус на случайности как драматургии,Да,структура,принцип неопределенности,индивидуальные,аналог в хаос-теории
61,Использование реального времени зрителей,Да,время/ритм,принцип синхронизации,коллективные,аналог в иммерсивных практиках
62,Введение социальных сетей в спектакль,Да,технология/инфраструктура,принцип медиатизации,индивидуальные,аналог в digital art
63,Создание спектакля без сценария,Нет,структура,принцип импровизации,индивидуальные,аналог в перформансе
64,Фокус на визуальной перегрузке,Нет,состояние,принцип интенсивности,индивидуальные,аналог в медиа-арте
65,Присвоение научного дискурса,Да,дискурс,принцип гибридности,индивидуальные,аналог в science-art
66,Разрушение единства времени и пространства,Нет,структура,принцип фрагментации,индивидуальные,уникален
67,Слияние актёров и зрителей в одну группу,Да,отношения,принцип коллективизации,коллективные,аналог в ритуале
68,Использование бытовых предметов как текста,Да,содержание,принцип переопределения,индивидуальные,аналог в ready-made
69,Фокус на перформативности речи,Да,дискурс,принцип действия,индивидуальные,аналог в лингвистике
70,Переход к звуковым коллажам,Да,дискурс,принцип монтажности,индивидуальные,аналог в музыке
71,Интерпретация тела как текста,Да,тело/материя,принцип семиотизации,индивидуальные,аналог в body art
72,Использование повседневных движений,Да,поведение,принцип банализации,индивидуальные,аналог в танце
73,Прерывание действия внешними шумами,Да,структура,принцип дезориентации,индивидуальные,аналог в саунд-арте
74,Симуляция политических событий,Да,содержание,принцип репрезентации,коллективные,аналог в политическом театре
75,Размывание авторских прав,Да,институты,принцип апроприации,индивидуальные,аналог в копирайт-арт
76,Фокус на непрофессиональных актёрах,Да,институты,принцип инклюзии,коллективные,аналог в community theatre
77,Сочетание театра и визуальных медиа,Да,структура,принцип интермедиальности,индивидуальные,аналог в медиа-арте
78,Использование случайных текстов,Да,содержание,принцип хаотичности,индивидуальные,аналог в коллажах
79,Создание ситуаций неопределенности,Да,состояние,принцип неопределенности,индивидуальные,аналог в психологии
80,Разрушение логики репрезентации,Нет,структура,принцип деконструкции,индивидуальные,аналог в философии постструктурализма
81,Применение видеопотока вживую,Да,технология/инфраструктура,принцип синхронизации,индивидуальные,аналог в видео-арте
82,Фокус на зрительских телесных реакциях,Да,отношения,принцип эмпатии,индивидуальные,аналог в психологии
83,Прерывание спектакля ради обсуждения,Да,дискурс,принцип метакоммуникации,коллективные,аналог в форумах
84,Использование медиа как персонажей,Да,символы,принцип анимации,индивидуальные,аналог в digital puppetry
85,Фокус на тишине как событии,Да,состояние,принцип пустоты,индивидуальные,аналог в музыке Кейджа
86,Разрушение драматической арки,Нет,структура,принцип отказа,индивидуальные,уникален
87,Введение нелогичных переходов,Нет,структура,принцип хаоса,индивидуальные,аналог в сюрреализме
88,Фокус на мультиязычии,Да,дискурс,принцип полифонии,индивидуальные,аналог в глобализации
89,Использование экранов вместо декораций,Да,пространство,принцип замещения,индивидуальные,аналог в digital scenography
90,Перенос действия в цифровую среду,Да,пространство,принцип виртуализации,индивидуальные,аналог в VR
91,Фокус на сообществе зрителей,Да,институты,принцип коллективности,коллективные,аналог в community art
92,Использование реальных историй,Да,память/наследие,принцип документальности,индивидуальные,аналог в documentary theatre
93,Фокус на ошибках как материале,Да,содержание,принцип случайности,индивидуальные,аналог в glitch art
94,Прерывание логики монтажа,Нет,структура,принцип хаотичности,индивидуальные,аналог в экспериментальном кино
95,Использование публики как авторов,Да,институты,принцип соавторства,коллективные,аналог в интерактивном искусстве
96,Слияние жанров шоу и театра,Да,нормы,принцип гибридности,индивидуальные,аналог в entertainment art
97,Фокус на микро-движениях актёров,Да,поведение,принцип минимализма,индивидуальные,аналог в танце
98,Создание спектакля-игры,Да,структура,принцип геймификации,индивидуальные,аналог в game studies
99,Фокус на зрительском выборе,Да,отношения,принцип интерактивности,индивидуальные,аналог в интерактивных медиа
100,Разрушение единства сюжета,Нет,структура,принцип деконструкции,индивидуальные,уникален
101,Введение научных экспериментов в действие,Да,содержание,принцип гибридности,индивидуальные,аналог в science theatre
102,Фокус на социальных ролях зрителей,Да,идентичность/границы,принцип репрезентации,коллективные,аналог в социологии
103,Использование абсурда как метода,Да,содержание,принцип противоречия,индивидуальные,аналог в абсурдизме
104,Прерывание действия ради игры,Да,поведение,принцип геймификации,индивидуальные,аналог в performance games
105,Фокус на материальности костюма,Да,тело/материя,принцип объектности,индивидуальные,аналог в fashion art
106,Разрушение драматической кульминации,Нет,структура,принцип отказа,индивидуальные,уникален
107,Использование алогичных диалогов,Да,дискурс,принцип нелинейности,индивидуальные,аналог в сюрреализме
108,Фокус на случайных зрительских вкладах,Да,отношения,принцип интерактивности,коллективные,аналог в participatory art
109,Слияние реальности и игры,Да,структура,принцип гибридности,индивидуальные,аналог в gamification
110,Фокус на перформативности жеста,Да,поведение,принцип экспрессии,индивидуальные,аналог в танце
111,Использование звука как главного текста,Да,дискурс,принцип замещения,индивидуальные,аналог в музыке
112,Разрушение финальной развязки,Нет,структура,принцип отказа,индивидуальные,уникален
113,Фокус на зрительской фантазии,Да,состояние,принцип дополнения,индивидуальные,аналог в психологии
114,Использование недраматических форм,Да,нормы,принцип гибридности,индивидуальные,аналог в перформативных исследованиях
115,Прерывание действия ради музыки,Да,структура,принцип интермедиальности,индивидуальные,аналог в музыкальном театре
116,Фокус на пространственной неопределенности,Да,пространство,принцип хаотичности,индивидуальные,аналог в инсталляции
117,Использование телесных практик как сюжета,Да,тело/материя,принцип материализации,индивидуальные,аналог в body art
118,Разрушение привычных ожиданий зрителей,Нет,отношения,принцип подрыва,индивидуальные,аналог в психологии
