№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,установление раппорта (mirroring),Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,якорение (anchoring),Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,переформулирование (reframing),Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,метамодель вопросов (meta-model),Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,калибровка невербальных сигналов,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,визуализация желаемого состояния,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,техника swish,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,моделирование успешных стратегий,Нет,институты,принцип баланса,явные/латентные,аналогичный
9,разбивка целей (chunking),Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,линия времени (timeline therapy),Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,формирование внутренних ресурсов,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,использование субмодальностей,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,переписывание убеждений,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,установка позитивных намерений,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,метафорическое повествование,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,согласование логических уровней,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,переопределение значений,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,смещение перспективы (perceptual positions),Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,язык Милтона,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,уточнение целей с помощью условий,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,работа с ограничивающими убеждениями,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,генерация состояния потока,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,создание анкеров для мотивации,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,разрыв шаблонов,Условно,поведение,принцип баланса,явные/латентные,аналогичный
