№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Лёжа в позе шавасана,Да,дискурс,принцип равновесия,"цикличные, индивидуальные",Аналоги существуют
2,Постановка намерения (санкальпа),Условно,содержание,принцип присутствия,"экзогенные, латентные",Уникальный
3,Сканирование тела,Нет,экономика/обмен,принцип присутствия,"континуальные, необходимые",Аналоги существуют
4,Последовательное вращение сознания,Да,эмоции,принцип нейрофидбек,"индивидуальные, явные",Уникальный
5,Осознание дыхания,Да,значения,принцип осознанности,"институциональные, неформальные",Уникальный
6,Визуализация образов,Да,технология/инфраструктура,принцип нравственности,"каскадные, институциональные",Аналоги существуют
7,Наблюдение ощущений тепла и холода,Нет,структура,принцип осознанности,"коллективные, дискретные",Аналоги существуют
8,Чередование чувств легкости и тяжести,Нет,память/наследие,принцип осознанности,"цикличные, континуальные",Аналоги существуют
9,Работа с противоположностями,Нет,пространство,принцип самонаблюдения,"коллективные, индивидуальные",Уникальный
10,Создание безопасного внутреннего пространства,Условно,символы,принцип сострадания,"цикличные, континуальные",Уникальный
11,Прослушивание руководства,Нет,поведение,принцип присутствия,"возможные, необходимые",Аналоги существуют
12,Наблюдение перехода между бодрствованием и сном,Условно,экономика/обмен,принцип сосредоточенности,"индивидуальные, дискретные",Аналоги существуют
13,Сохранение осознанности во время расслабления,Условно,состояние,принцип равновесия,"эндогенные, латентные",Уникальный
14,Повторение санкальпы,Условно,содержание,принцип сосредоточенности,"каскадные, континуальные",Уникальный
15,Закрытие практики благодарностью,Да,значения,принцип самонаблюдения,"индивидуальные, цикличные",Аналоги существуют
16,Плавное возвращение в бодрствующее состояние,Да,ум/сознание,принцип непостоянства,"латентные, дискретные",Аналоги существуют
17,Регулярная практика вечером,Условно,пространство,принцип нейрофидбек,"латентные, коллективные",Уникальный
18,Использование подушки и одеяла,Нет,память/наследие,принцип самонаблюдения,"эндогенные, коллективные",Аналоги существуют
19,Контроль температуры тела,Условно,символы,принцип самонаблюдения,"экзогенные, индивидуальные",Уникальный
20,Наблюдение вибраций в теле,Да,память/наследие,принцип сосредоточенности,"индивидуальные, мгновенные",Аналоги существуют
21,Дыхание в живот,Нет,экономика/обмен,принцип равновесия,"эндогенные, возможные",Аналоги существуют
22,Сознательное расслабление каждой части тела,Условно,поведение,принцип сосредоточенности,"индивидуальные, экзогенные",Уникальный
23,Отсутствие движения,Условно,идентичность/границы,принцип непостоянства,"неформальные, постепенные",Уникальный
24,Отслеживание мыслей без реакции,Нет,идентичность/границы,принцип нравственности,"мгновенные, латентные",Уникальный
25,Ведение дневника сновидений,Условно,тело/материя,принцип самонаблюдения,"каскадные, необходимые",Аналоги существуют
26,Регулирование продолжительности практики,Условно,экономика/обмен,принцип непостоянства,"цикличные, постепенные",Аналоги существуют
27,Прослушивание мягкой музыки,Условно,структура,принцип непостоянства,"латентные, институциональные",Уникальный
28,Установка таймера,Да,память/наследие,принцип нейрофидбек,"каскадные, дискретные",Аналоги существуют
29,Практика перед сном,Нет,содержание,принцип нравственности,"мгновенные, явные",Аналоги существуют
30,Отказ от кофеина перед практикой,Да,нормы,принцип нейрофидбек,"неформальные, мгновенные",Уникальный
31,Выбор комфортной среды,Условно,нормы,принцип осознанности,"каскадные, мгновенные",Аналоги существуют
32,Использование ароматерапии,Нет,структура,принцип пустоты,"необходимые, каскадные",Аналоги существуют
33,Фокус на внутреннем экране (чакра аджна),Да,идентичность/границы,принцип непостоянства,"коллективные, мгновенные",Уникальный
34,Ощущение тяжести конечностей,Да,эмоции,принцип самонаблюдения,"необходимые, цикличные",Аналоги существуют
35,Наблюдение за вибрациями на уровне клеток,Нет,технология/инфраструктура,принцип сосредоточенности,"континуальные, мгновенные",Уникальный
36,Отсутствие ожиданий,Условно,функция,принцип присутствия,"каскадные, явные",Уникальный
37,Визуализация природных ландшафтов,Нет,сознание,принцип присутствия,"дискретные, индивидуальные",Аналоги существуют
38,Укрепление намерения в подсознании,Да,время/ритм,принцип пустоты,"мгновенные, индивидуальные",Уникальный
39,Медленный счёт дыхания,Да,значения,принцип присутствия,"экзогенные, неформальные",Уникальный
