№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Информационная архитектура сайта,Да,Структура,Упорядоченность,Активные,Аналоги: библиотековедение
2,Прототипирование интерфейсов,Да,Структура,Адаптация,Активные,Аналоги: UX-дизайн
3,Выбор цветовой схемы,Да,Содержание,Гармония,Активные,Аналоги: графический дизайн
4,Типографика в вебе,Да,Содержание,Иконичность,Активные,Аналоги: печатный дизайн
5,Сетка и макетирование,Да,Структура,Упорядоченность,Активные,Аналоги: архитектура
6,Адаптивный дизайн,Да,Структура,Адаптация,Активные,Аналоги: инженерия
7,Респонсивный дизайн,Да,Структура,Адаптация,Активные,Аналоги: ИТ
8,Микровзаимодействия,Да,Содержание,Экспрессия,Активные,Аналоги: психология восприятия
9,Анимация и переходы,Да,Содержание,Историческая динамика,Активные,Аналоги: кино
10,Оптимизация скорости загрузки,Да,Содержание,Экономия,Активные,Аналоги: инженерия
11,SEO-оптимизация,Да,Содержание,Регуляция,Активные,Аналоги: маркетинг
12,Интерактивные элементы,Да,Содержание,Экспрессия,Активные,Аналоги: игровые технологии
13,Формирование брендинга в вебе,Да,Содержание,Устойчивость,Активные,Аналоги: маркетинг
14,Использование иконографии,Да,Содержание,Иконичность,Активные,Аналоги: графический дизайн
15,Разработка дизайна навигации,Да,Структура,Регуляция,Активные,Аналоги: картография
16,Создание call-to-action элементов,Да,Содержание,Экспрессия,Активные,Аналоги: риторика
17,Интеграция мультимедиа,Да,Содержание,Интеграция,Активные,Аналоги: СМИ
18,Тестирование юзабилити,Да,Содержание,Критичность,Активные,Аналоги: эргономика
19,Инклюзивный веб-дизайн,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
20,Эко-дизайн интерфейсов (энергосбережение),Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
21,Создание landing page,Да,Содержание,Экономия,Активные,Аналоги: реклама
22,Дизайн интернет-магазинов,Да,Содержание,Функциональность,Активные,Аналоги: экономика
23,Дизайн социальных сетей,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
24,Мобильный first-дизайн,Да,Структура,Адаптация,Активные,Аналоги: ИТ
25,Темизация и скины,Да,Содержание,Экспрессия,Активные,Аналоги: культура игр
26,Интеграция VR/AR в веб,Да,Структура,Инновация,Активные,Аналоги: ИТ
27,Геймификация интерфейсов,Да,Содержание,Экспрессия,Активные,Аналоги: игровая индустрия
28,Кроссбраузерная оптимизация,Да,Структура,Регуляция,Активные,Аналоги: инженерия
