№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение информационной потребности,Да,Содержание,Ясность,Активные,Аналоги: психология (осознание потребности)
2,Формулирование запроса,Да,Структура,Ясность,Активные,Аналоги: прагматика (вопрос)
3,Выбор источников информации,Да,Содержание,Приоритет,Активные,Аналоги: экономика (выбор ресурса)
4,Оценка источников информации,Да,Содержание,Критичность,Активные,Аналоги: философия (критическое мышление)
5,Проверка достоверности,Да,Содержание,Истина,Активные,Аналоги: логика
6,Сравнение источников,Да,Содержание,Контраст,Активные,Аналоги: наука (сопоставление гипотез)
7,Определение релевантности,Да,Содержание,Приоритет,Активные,Аналоги: информационный поиск
8,Интерпретация информации,Да,Содержание,Экспрессия,Активные,Аналоги: семантика
9,Критический анализ информации,Да,Содержание,Критичность,Активные,Аналоги: философия
10,Интеграция информации,Да,Структура,Гармония,Активные,Аналоги: когнитивная психология
11,Синтез информации,Да,Структура,Иконичность,Активные,Аналоги: наука
12,Создание нового знания,Да,Содержание,Экспрессия,Активные,Аналоги: управление знаниями
13,Этическое использование информации,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
14,Цитирование источников,Да,Содержание,Референция,Активные,Аналоги: библиометрия
15,Соблюдение авторского права,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
16,Избежание плагиата,Да,Содержание,Этика,Активные,Аналоги: культура
17,Форматирование ссылок,Да,Структура,Упорядоченность,Активные,Аналоги: стандартизация
18,Навигация в информационных системах,Да,Структура,Ориентация,Активные,Аналоги: география
19,Использование поисковых стратегий,Да,Структура,Адаптация,Активные,Аналоги: информационный поиск
20,Фильтрация информации,Да,Структура,Экономия,Активные,Аналоги: инженерия
21,Оценка актуальности информации,Да,Содержание,Историческая динамика,Активные,Аналоги: хроника
22,Оценка полноты информации,Да,Содержание,Критичность,Активные,Аналоги: статистика
23,Понимание мультимодальной информации,Да,Содержание,Ассоциация,Активные,Аналоги: когнитивная наука
24,Адаптация информации под задачу,Да,Содержание,Адаптация,Активные,Аналоги: менеджмент
25,Создание информационного продукта,Да,Содержание,Экспрессия,Активные,Аналоги: дизайн
26,Презентация информации,Да,Содержание,Экспрессия,Активные,Аналоги: искусство (риторика)
27,Коммуникация информации,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
28,Коллаборативное использование информации,Да,Отношения,Социальная регуляция,Активные,Аналоги: социология
29,Обратная связь по информации,Да,Отношения,Регуляция,Активные,Аналоги: педагогика
30,Управление информационными перегрузками,Да,Состояние,Экономия,Активные,Аналоги: психология (стресс)
31,Цифровая безопасность информации,Да,Содержание,Регуляция,Активные,Аналоги: кибербезопасность
32,Медиаграмотность,Да,Содержание,Социальная регуляция,Активные,Аналоги: журналистика
33,Визуальная грамотность,Да,Содержание,Ассоциация,Активные,Аналоги: искусство
34,Данные и статистическая грамотность,Да,Содержание,Критичность,Активные,Аналоги: статистика
