№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Исследование пользователей,Да,Содержание,Предсказуемость,Активные,Аналоги: социология
2,Создание персонажей (персон),Да,Содержание,Иконичность,Активные,Аналоги: драматургия
3,Картирование пользовательских сценариев,Да,Структура,Упорядоченность,Активные,Аналоги: менеджмент
4,User Journey Mapping,Да,Структура,Историческая динамика,Активные,Аналоги: нарративистика
5,Прототипирование интерфейсов,Да,Структура,Адаптация,Активные,Аналоги: инженерия
6,Wireframing,Да,Структура,Экономия,Активные,Аналоги: архитектурные чертежи
7,Интерактивные прототипы,Да,Структура,Интеграция,Активные,Аналоги: игровые технологии
8,Тестирование юзабилити,Да,Содержание,Критичность,Активные,Аналоги: эргономика
9,A/B тестирование,Да,Содержание,Дифференциация,Активные,Аналоги: статистика
10,Карты тепла (heatmaps),Да,Содержание,Экспрессия,Активные,Аналоги: визуализация данных
11,Eye-tracking анализ,Да,Содержание,Экспрессия,Активные,Аналоги: психофизиология
12,Микровзаимодействия,Да,Содержание,Экспрессия,Активные,Аналоги: психология
13,Интерфейсная анимация,Да,Содержание,Историческая динамика,Активные,Аналоги: кино
14,Системы навигации,Да,Структура,Регуляция,Активные,Аналоги: картография
15,Мобильный first-дизайн,Да,Структура,Адаптация,Активные,Аналоги: ИТ
16,Дизайн для доступности (accessibility),Да,Содержание,Социальная динамика,Активные,Аналоги: социология
17,Интернационализация интерфейсов,Да,Содержание,Интеграция,Активные,Аналоги: лингвистика
18,Локализация интерфейсов,Да,Содержание,Дифференциация,Активные,Аналоги: переводоведение
19,Дизайн систем (Design Systems),Да,Структура,Устойчивость,Активные,Аналоги: системная теория
20,UI-киты,Да,Структура,Упорядоченность,Активные,Аналоги: библиотековедение
21,Эмоциональный дизайн интерфейсов,Да,Содержание,Экспрессия,Активные,Аналоги: психология эмоций
22,Геймификация UX,Да,Содержание,Экспрессия,Активные,Аналоги: игровая индустрия
23,Создание онбординга,Да,Содержание,Адаптация,Активные,Аналоги: педагогика
24,Эко-дизайн интерфейсов,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
25,Интеграция VR/AR в UX/UI,Да,Структура,Инновация,Активные,Аналоги: ИТ
26,Мультиплатформенный UX,Да,Структура,Интеграция,Активные,Аналоги: инженерия
27,AI-driven UX (персонализация),Да,Содержание,Инновация,Активные,Аналоги: искусственный интеллект
28,Дизайн голосовых интерфейсов,Да,Содержание,Инновация,Активные,Аналоги: лингвистика
29,Zero UI (естественные интерфейсы),Да,Структура,Инновация,Активные,Аналоги: кибернетика
