№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оцифровка артефактов,Да,Структура,Сохранение,Активные,Аналоги: музейное дело
2,Создание копий (backup),Да,Структура,Устойчивость,Активные,Аналоги: ИТ
3,Миграция форматов,Да,Структура,Адаптация,Активные,Аналоги: информатика
4,Эмуляция программного обеспечения,Да,Структура,Устойчивость,Активные,Аналоги: ИТ
5,Конверсия форматов,Да,Структура,Адаптация,Активные,Аналоги: информатика
6,Хранение в долговременных репозиториях,Да,Структура,Сохранение,Постепенные,Аналоги: архивоведение
7,Использование открытых форматов,Да,Структура,Устойчивость,Активные,Аналоги: стандартизация
8,Фиксация метаданных сохранности,Да,Содержание,Регуляция,Активные,Аналоги: архивоведение
9,Аудит цифрового наследия,Да,Содержание,Критичность,Активные,Аналоги: менеджмент
10,Мониторинг состояния цифровых объектов,Да,Состояние,Устойчивость,Постепенные,Аналоги: инженерия
11,Обновление носителей,Да,Структура,Адаптация,Постепенные,Аналоги: техника
12,Миграция носителей,Да,Структура,Адаптация,Постепенные,Аналоги: ИТ
13,Репликация данных,Да,Структура,Устойчивость,Активные,Аналоги: информатика
14,Криптографическая защита наследия,Да,Содержание,Регуляция,Активные,Аналоги: кибербезопасность
15,Юридическая фиксация (право на доступ),Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
16,Семантическая аннотация наследия,Да,Содержание,Экспрессия,Активные,Аналоги: семантика
17,Краудсорсинг сохранности,Да,Содержание,Социальная динамика,Активные,Аналоги: интернет-культура
18,Геймификация сохранности,Да,Содержание,Экспрессия,Активные,Аналоги: культура (игры)
19,Создание цифровых двойников,Да,Структура,Иконичность,Активные,Аналоги: инженерия
20,Использование блокчейн для аутентичности,Да,Структура,Устойчивость,Активные,Аналоги: финтех
21,Этический надзор сохранности,Да,Содержание,Регуляция,Активные,Аналоги: этика
22,Виртуальная реконструкция,Да,Структура,Экспрессия,Активные,"Аналоги: искусство, VR"
23,Мультимодальное сохранение,Да,Структура,Интеграция,Активные,Аналоги: когнитивная наука
24,Интероперабельность систем хранения,Да,Структура,Гибкость,Активные,Аналоги: инженерия
25,Долгосрочное управление рисками,Да,Содержание,Регуляция,Активные,Аналоги: менеджмент рисков
26,Периодическая ревизия форматов,Да,Структура,Регуляция,Постепенные,Аналоги: стандартизация
27,Обеспечение доступности (Accessibility),Да,Содержание,Социальная регуляция,Активные,Аналоги: инклюзия
28,Документирование процессов сохранности,Да,Структура,Регуляция,Активные,Аналоги: менеджмент
29,Автоматическая проверка целостности данных,Да,Структура,Регуляция,Активные,Аналоги: ИТ
30,Использование облачных технологий,Да,Структура,Гибкость,Активные,Аналоги: ИТ
31,Культурная адаптация сохранности,Да,Содержание,Социальная динамика,Постепенные,Аналоги: антропология
32,Реинжиниринг сохранности,Да,Структура,Гибкость,Активные,Аналоги: инженерия
