№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оцифровка документов,Да,Структура,Сохранение,Активные,Аналоги: архивоведение
2,Сканирование,Да,Структура,Сохранение,Активные,Аналоги: инженерия
3,Распознавание текста (OCR),Да,Структура,Кодирование,Активные,Аналоги: компьютерная лингвистика
4,Автоматическая сегментация изображений,Да,Структура,Экономия,Активные,Аналоги: информатика
5,Разметка цифровых ресурсов,Да,Структура,Упорядоченность,Активные,Аналоги: лингвистика
6,Хранение в репозиториях,Да,Структура,Устойчивость,Постепенные,Аналоги: базы данных
7,Форматирование файлов,Да,Структура,Устойчивость,Активные,Аналоги: информатика
8,Конверсия форматов,Да,Структура,Адаптация,Активные,Аналоги: информатика
9,Метаданные цифровых ресурсов,Да,Содержание,Устойчивость,Активные,Аналоги: метаданные
10,Создание цифровых коллекций,Да,Структура,Упорядоченность,Активные,Аналоги: музейное дело
11,Курация цифровых ресурсов,Да,Структура,Гармония,Активные,Аналоги: искусство
12,Интеграция мультимедиа,Да,Структура,Гармония,Активные,Аналоги: медиаискусство
13,Мультимодальная навигация,Да,Структура,Ассоциация,Активные,Аналоги: когнитивная наука
14,Поиск в цифровых библиотеках,Да,Структура,Ясность,Активные,Аналоги: информационный поиск
15,Доступ к цифровым ресурсам,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
16,Ограничение доступа (DRM),Да,Содержание,Регуляция,Активные,Аналоги: право
17,Долгосрочное архивирование,Да,Структура,Сохранение,Постепенные,Аналоги: архивоведение
18,"Форматы долговременного хранения (PDF/A, TIFF)",Да,Структура,Сохранение,Активные,Аналоги: стандартизация
19,Автоматическая аннотация,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
20,Автоматическое реферирование,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
21,Семантическая интеграция ресурсов,Да,Отношения,Гармония,Активные,Аналоги: семантика
22,Сетевое распространение ресурсов,Да,Структура,Экспрессия,Активные,Аналоги: интернет
23,Виртуальные выставки,Да,Структура,Культура,Активные,Аналоги: музейное дело
24,Облачные библиотеки,Да,Структура,Гибкость,Активные,Аналоги: ИТ
25,Мобильные библиотеки (приложения),Да,Структура,Адаптация,Активные,Аналоги: ИТ
26,Интерактивные сервисы пользователей,Да,Структура,Кооперация,Активные,Аналоги: социология
27,Социальные функции цифровых библиотек,Да,Структура,Социальная динамика,Активные,Аналоги: соцсети
28,API-доступ,Да,Структура,Интеграция,Активные,Аналоги: информатика
29,Open Access (открытый доступ),Да,Содержание,Социальная гармония,Активные,Аналоги: политика знаний
30,Linked Open Data,Да,Отношения,Связность,Активные,Аналоги: семантическая паутина
31,Автоматическая кластеризация коллекций,Да,Структура,Экономия,Активные,Аналоги: статистика
32,Рекомендательные системы в библиотеках,Да,Содержание,Адаптация,Активные,Аналоги: ИИ
33,Геймификация доступа,Да,Структура,Экспрессия,Активные,Аналоги: культура (игры)
