№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание послания,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,фрейминг сообщения,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,конструирование нарратива,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,создание слогана,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,написание речи,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,подготовка к дебатам,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,подготовка пресс-релиза,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,организация пресс-конференции,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,выбор канала коммуникации,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,сегментация аудитории,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,микротаргетинг,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,медиа-тренинг,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,генерация саундбайтов,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,создание рекламных роликов,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,тестирование рекламы,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,заказ опросов мнений,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,кризисная коммуникация,Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,спин-докторинг,Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,установление повестки,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,сёрфинг повестки,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,прайминг,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,формирование рамок,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,гейткипинг,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,выбор новостей,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,наклон новостей,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,распространение дезинформации,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,коррекция дезинформации,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,фактчекинг,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,кроссплатформенное усиление,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,модерация социальных сетей,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,работа с лидерами мнений,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,репликация мемов,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,создание вирусного контента,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,дизайн директ-мейла,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,развертывание робо-звонков,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,рассылка текстовых сообщений,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,создание email-рассылки,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,создание пуш-опроса,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,усиление нарратива,Да,состояние,феноменология,явные/латентные,Аналоги
40,развенчание слухов,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,поворот нарратива,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,переформулирование сообщения,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,визуализация данных,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,разработка инфографики,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
45,социальное прослушивание,Да,символы,критическая теория,институциональные/неформальные,Аналоги
46,анализ тональности,Нет,значения,поведенческий подход,цикличные/каскадные,Аналоги
47,управление репутацией,Условно,пространство,институционализм,явные/латентные,Аналоги
48,управление брендом,Да,время/ритм,культурный релятивизм,необходимые/возможные,Уникальный
49,обратная связь с аудиторией,Нет,технология/инфраструктура,гегельянская диалектика,мгновенные/постепенные,Аналоги
50,рассказ истории,Условно,тело/материя,онтологический анализ,дискретные/континуальные,Аналоги
51,обучение спикеров,Да,экономика/обмен,герменевтика,индивидуальные/коллективные,Аналоги
52,мониторинг медиа,Нет,идентичность/границы,прагматизм,эндогенные/экзогенные,Уникальный
53,управление контентом,Условно,память/наследие,феноменология,институциональные/неформальные,Аналоги
