№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Spiritual self‑inquiry,Нет,значения,принцип осознанности,дискретные/континуальные,аналогичен другим
2,Peak experience facilitation,Да,значения,принцип социальной взаимности,необходимые/возможные,аналогичен другим
3,Mystical experience integration,Условно,значения,принцип индивидуальных различий,явные/латентные,уникальный
4,Self‑transcendence practice,Нет,значения,принцип эмоциональной гомеостаза,цикличные/каскадные,уникальный
5,Meditation retreat participation,Условно,значения,принцип восприятия,эндогенные/экзогенные,аналогичен другим
6,Vision quest undertaking,Нет,значения,принцип развития,индивидуальные/коллективные,аналогичен другим
7,Holotropic breathwork,Да,значения,принцип развития,индивидуальные/коллективные,аналогичен другим
8,Guided imagery journey,Да,значения,принцип осознанности,индивидуальные/коллективные,аналогичен другим
9,Transpersonal psychotherapy,Нет,значения,принцип осознанности,мгновенные/постепенные,аналогичен другим
10,Transpersonal counseling,Нет,значения,принцип нейронной пластичности,эндогенные/экзогенные,аналогичен другим
11,Shamanic journeying,Условно,значения,принцип памяти,цикличные/каскадные,аналогичен другим
12,Psychedelic-assisted therapy,Нет,значения,принцип когнитивной экономии,явные/латентные,аналогичен другим
13,Mindfulness meditation,Условно,значения,принцип развития,дискретные/континуальные,аналогичен другим
14,Self‑actualization exploration,Да,значения,принцип памяти,цикличные/каскадные,аналогичен другим
15,Dream work analysis,Нет,значения,принцип эмоциональной гомеостаза,необходимые/возможные,аналогичен другим
16,Ancestral healing,Условно,значения,принцип клинической эффективности,дискретные/континуальные,аналогичен другим
17,Mandala creation,Условно,значения,принцип восприятия,индивидуальные/коллективные,уникальный
18,Chakra balancing,Да,значения,принцип эмоциональной гомеостаза,институциональные/неформальные,аналогичен другим
19,Yoga for consciousness expansion,Нет,значения,принцип эмоциональной гомеостаза,эндогенные/экзогенные,аналогичен другим
20,Subtle energy awareness,Условно,значения,принцип развития,институциональные/неформальные,уникальный
21,Soul retrieval,Нет,значения,принцип социальной взаимности,институциональные/неформальные,аналогичен другим
22,Spiritual crisis intervention,Да,значения,принцип нейронной пластичности,цикличные/каскадные,аналогичен другим
23,Integration of altered states,Нет,значения,принцип развития,индивидуальные/коллективные,аналогичен другим
24,Transpersonal group therapy,Нет,значения,принцип нейронной пластичности,эндогенные/экзогенные,аналогичен другим
25,Transpersonal art therapy,Да,значения,принцип духовного развития,индивидуальные/коллективные,уникальный
26,Kundalini awakening management,Нет,значения,принцип осознанности,дискретные/континуальные,аналогичен другим
27,Spiritual emergence coaching,Условно,значения,принцип социальной взаимности,явные/латентные,уникальный
28,Spiritually oriented journaling,Условно,значения,принцип мотивационного баланса,мгновенные/постепенные,уникальный
29,Transpersonal narrative therapy,Да,значения,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
30,Shadow work,Условно,значения,принцип духовного развития,эндогенные/экзогенные,уникальный
31,Transcendental meditation,Нет,значения,принцип мотивационного баланса,явные/латентные,аналогичен другим
32,Transpersonal biofeedback,Условно,значения,принцип духовного развития,дискретные/континуальные,уникальный
33,Spiritual transference processing,Да,значения,принцип осознанности,дискретные/континуальные,аналогичен другим
34,Metaphysical education,Условно,значения,принцип социальной взаимности,необходимые/возможные,уникальный
35,Wisdom tradition integration,Условно,значения,принцип духовного развития,мгновенные/постепенные,аналогичен другим
36,Ecopsychology practice,Нет,значения,принцип когнитивной экономии,мгновенные/постепенные,аналогичен другим
37,Entheogenic integration,Нет,значения,принцип осознанности,цикличные/каскадные,аналогичен другим
38,Ritual participation,Нет,значения,принцип социальной взаимности,институциональные/неформальные,уникальный
39,Ceremonial healing,Условно,значения,принцип мотивационного баланса,индивидуальные/коллективные,уникальный
40,Sacred music therapy,Условно,значения,принцип осознанности,эндогенные/экзогенные,аналогичен другим
41,Mantra chanting,Условно,значения,принцип развития,необходимые/возможные,аналогичен другим
42,Divination practice,Условно,значения,принцип восприятия,мгновенные/постепенные,аналогичен другим
43,Archetypal exploration,Да,значения,принцип социальной взаимности,явные/латентные,уникальный
44,Transpersonal ethics reflection,Нет,значения,принцип эмоциональной гомеостаза,цикличные/каскадные,аналогичен другим
45,Mystery school study,Условно,значения,принцип индивидуальных различий,необходимые/возможные,аналогичен другим
46,Transpersonal supervision,Нет,значения,принцип восприятия,институциональные/неформальные,аналогичен другим
47,Spiritual community building,Нет,значения,принцип духовного развития,эндогенные/экзогенные,аналогичен другим
48,Transpersonal research,Нет,значения,принцип осознанности,необходимые/возможные,аналогичен другим
49,Depth meditation,Нет,значения,принцип развития,индивидуальные/коллективные,аналогичен другим
