№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сидение в удобной позе,Нет,ум/сознание,принцип сострадания,"мгновенные, индивидуальные",Уникальный
2,Закрытие глаз,Нет,сознание,принцип нейрофидбек,"индивидуальные, необходимые",Уникальный
3,Молчаливое повторение мантры,Нет,отношения,принцип непостоянства,"возможные, латентные",Уникальный
4,Позволение мыслям успокоиться,Условно,содержание,принцип непостоянства,"континуальные, каскадные",Аналоги существуют
5,Два раза в день по 20 минут,Нет,внимание,принцип присутствия,"дискретные, мгновенные",Уникальный
6,Назначение мантры учителем,Да,время/ритм,принцип равновесия,"мгновенные, эндогенные",Уникальный
7,Отсутствие контроля над дыханием,Да,нормы,принцип сострадания,"экзогенные, институциональные",Уникальный
8,Начало с 10 минут,Условно,ум/сознание,принцип присутствия,"дискретные, континуальные",Уникальный
9,Достижение состояния глубокого покоя,Да,содержание,принцип пустоты,"цикличные, экзогенные",Аналоги существуют
10,Фокусировка на звуке,Условно,функция,принцип самонаблюдения,"коллективные, индивидуальные",Уникальный
11,Без оценки опыта,Нет,ум/сознание,принцип самонаблюдения,"явные, латентные",Уникальный
12,Мягкое открытие глаз в конце,Да,технология/инфраструктура,принцип осознанности,"цикличные, коллективные",Уникальный
13,Регулярное расписание практики,Нет,поведение,принцип равновесия,"цикличные, возможные",Аналоги существуют
14,Неиспользование приложений,Да,пространство,принцип сострадания,"эндогенные, индивидуальные",Аналоги существуют
15,Минимум внешнего вмешательства,Да,память/наследие,принцип нейрофидбек,"мгновенные, институциональные",Аналоги существуют
16,Совмещение с обычной жизнью,Условно,состояние,принцип осознанности,"дискретные, экзогенные",Уникальный
17,Получение наставлений,Нет,содержание,принцип равновесия,"необходимые, дискретные",Аналоги существуют
18,Ежедневная практика,Да,содержание,принцип осознанности,"континуальные, каскадные",Аналоги существуют
19,Отсутствие усилия в повторении,Да,функция,принцип осознанности,"цикличные, дискретные",Аналоги существуют
20,Осознание расслабленного тела,Условно,тело/материя,принцип сострадания,"индивидуальные, необходимые",Уникальный
21,Запоминание мантры,Условно,ум/сознание,принцип сосредоточенности,"латентные, экзогенные",Аналоги существуют
22,Отсутствие привязки к религии,Нет,содержание,принцип самонаблюдения,"экзогенные, каскадные",Аналоги существуют
23,Соблюдение тишины,Нет,структура,принцип непостоянства,"индивидуальные, постепенные",Уникальный
24,Соединение с глубинным уровнем сознания,Условно,отношения,принцип непостоянства,"институциональные, постепенные",Аналоги существуют
25,Постепенное расширение времени практики,Условно,время/ритм,принцип нравственности,"индивидуальные, эндогенные",Аналоги существуют
26,Удержание внимания на мантре,Условно,функция,принцип сострадания,"эндогенные, постепенные",Аналоги существуют
27,Выстраивание устойчивой привычки,Нет,память/наследие,принцип осознанности,"цикличные, дискретные",Уникальный
28,Поддержание ясного намерения,Нет,экономика/обмен,принцип непостоянства,"коллективные, экзогенные",Уникальный
29,Наблюдение потока мыслей,Условно,содержание,принцип осознанности,"институциональные, мгновенные",Уникальный
30,Отпускание ожиданий,Да,ум/сознание,принцип нейрофидбек,"постепенные, возможные",Аналоги существуют
31,Завершение практики благодарностью,Да,институты,принцип пустоты,"возможные, мгновенные",Уникальный
32,Прослушивание лекций учителя,Да,нормы,принцип самонаблюдения,"мгновенные, эндогенные",Уникальный
33,Посещение коллективных сессий,Да,идентичность/границы,принцип равновесия,"экзогенные, необходимые",Уникальный
34,Обмен опытом с другими практикующими,Да,дискурс,принцип сосредоточенности,"институциональные, мгновенные",Аналоги существуют
35,Контроль времени медитации,Нет,состояние,принцип осознанности,"неформальные, латентные",Уникальный
36,Снижение уровня стресса,Нет,дискурс,принцип непостоянства,"континуальные, необходимые",Аналоги существуют
37,Развитие внутренней тишины,Условно,пространство,принцип пустоты,"мгновенные, неформальные",Уникальный
38,Использование мягкого звукового сигнала для завершения,Нет,ум/сознание,принцип осознанности,"институциональные, коллективные",Уникальный
